state,race,model_partition,ifr,relvalue
CA,ASIAN,0,0.00182838588180388,1.02553405463019
CA,ASIAN,17,0.204512550607195,0.856214666268872
CA,ASIAN,64,7.39185076125469,1.06928836151893
CA,BLACK,0,0.00184135565986353,1.03280874932868
CA,BLACK,17,0.205653841145932,0.860992806753838
CA,BLACK,64,6.29234197545976,0.910235914978629
CA,HISPANIC,0,0.00188439198332859,1.05694764459075
CA,HISPANIC,17,0.162722208166795,0.681254723714566
CA,HISPANIC,64,6.3426199378282,0.917509010951192
CA,OTHER,0,0.00183943482127368,1.03173135893372
CA,OTHER,17,0.151727560523879,0.635224401690935
CA,OTHER,64,7.51820304288796,1.08756619592949
CA,WHITE,0,0.00178286218146428,1
CA,WHITE,17,0.238856631011006,1
CA,WHITE,64,6.912869369264,1
NC,ASIAN,0,0.00187662084902009,1.00977214014786
NC,ASIAN,17,0.174404391481318,0.797718405519388
NC,ASIAN,64,7.85504931670845,0.935786959200093
NC,BLACK,0,0.00183301701417129,0.986309788838635
NC,BLACK,17,0.197100035253325,0.901527332624188
NC,BLACK,64,7.50903740655478,0.894565902502081
NC,OTHER,0,0.00174430079335529,0.938573365039456
NC,OTHER,17,0.154653707188686,0.707379600125699
NC,OTHER,64,8.29541902847697,0.988249040198506
NC,WHITE,0,0.00185845972017538,1
NC,WHITE,17,0.218629017802046,1
NC,WHITE,64,8.39405725788583,1
